Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Cantonment area,12.9937707,77.59778680000001,Bangalore Bistro,12.988101433291202,77.59411957508252,Mediterranean Restaurant
Cantonment area,12.9937707,77.59778680000001,Life,12.999090694896536,77.60044979694634,Gym / Fitness Center
Domlur,12.9609857,77.6387316,Lavonne,12.963908917512304,77.63857909555004,Café
Domlur,12.9609857,77.6387316,Barbeque Nation,12.96268432799919,77.64159912496677,BBQ Joint
Domlur,12.9609857,77.6387316,Smoke House Deli,12.965584187974008,77.64149811290692,Deli / Bodega
Domlur,12.9609857,77.6387316,League of Extraordinary Gamers,12.967098531603707,77.63691851929147,Gaming Cafe
Domlur,12.9609857,77.6387316,Drops Total Spirits,12.964526940755547,77.64163609332793,Liquor Store
Domlur,12.9609857,77.6387316,Anand Sweets,12.960165704974667,77.64516797876391,Indian Restaurant
Domlur,12.9609857,77.6387316,Starbucks,12.965648550083586,77.64171789183723,Coffee Shop
Domlur,12.9609857,77.6387316,Domino's Pizza,12.961,77.639,Pizza Place
Domlur,12.9609857,77.6387316,Puma Social Club,12.967254184484323,77.64121209338596,Nightclub
Domlur,12.9609857,77.6387316,Harry's Singapore,12.964480895955553,77.6416910954984,Sports Bar
Domlur,12.9609857,77.6387316,Little Italy,12.96639726249987,77.64164576981047,Italian Restaurant
Domlur,12.9609857,77.6387316,Mainland China,12.962457669794661,77.64172707439545,Chinese Restaurant
Domlur,12.9609857,77.6387316,Tipsy Bull,12.964824110364718,77.64178306379425,Pub
Domlur,12.9609857,77.6387316,Cafe 42,12.963698354237229,77.6420391954426,Café
Domlur,12.9609857,77.6387316,Bob's Bar,12.967081570328242,77.64139470111513,Karnataka Restaurant
Domlur,12.9609857,77.6387316,Sree Nandhini Palace,12.961989653930361,77.64181260219313,Indian Restaurant
Domlur,12.9609857,77.6387316,Geoffrey's,12.957250976074215,77.64415895743561,Pub
Domlur,12.9609857,77.6387316,flying spaghetti monster,12.967053,77.64157,Italian Restaurant
Domlur,12.9609857,77.6387316,Spaghetti Kitchen,12.96453930395614,77.64165710460685,Italian Restaurant
Domlur,12.9609857,77.6387316,Srinidhi Sagar,12.95934816148329,77.63838706241823,Indian Restaurant
Domlur,12.9609857,77.6387316,Rajdhani,12.963833882354622,77.641642801897,Rajasthani Restaurant
Domlur,12.9609857,77.6387316,Barista,12.966273474482174,77.64143228530884,Café
Domlur,12.9609857,77.6387316,Subway,12.963811997701667,77.64066031212336,Sandwich Place
Domlur,12.9609857,77.6387316,Hotel Royal Orchid,12.957208484767675,77.64422244043912,Hotel
Domlur,12.9609857,77.6387316,Lime Light,12.957065273348734,77.64409831195849,Coffee Shop
Domlur,12.9609857,77.6387316,Vietnamese Kitchen,12.966451631457387,77.63733788165581,Vietnamese Restaurant
Domlur,12.9609857,77.6387316,The Paramount Hotel,12.955928268463168,77.64158130000955,Indian Restaurant
Domlur,12.9609857,77.6387316,Raenss Cafe,12.96587686311702,77.64127674983253,Café
Domlur,12.9609857,77.6387316,Sethji's,12.964210978293035,77.64388271352537,Diner
Domlur,12.9609857,77.6387316,Java Diamond District,12.957960745342602,77.64436394227398,Food
